Rang,Nom,Marque,Catégorie,Phytocomposants,Total
20,Garnier Ultra Doux Huile Merveilleuse,‎Garnier,Huiles Cheveux,Argania spinosa kernel oil · Camellia oleifera seed oil,2
25,Mielle Huile Romarin Menthe,‎Mielle Organics,Huiles Cheveux,"huile de graines de Ricinus Communis · ""extrait de feuille daloe barbadenis"" · huile de graines de carthamus tinctorius · huile de noix de cocos · ""huile de feuille deucalyptus globulus"" · huile de Lavandula Angustifolia · huile de feuille de Melaleuca Altermifolia · huile de Mentha Piperita · ""extrait de feuille dOcimum"" · ""huile de son dOryza sativa"" · huile de feuille de Pogostemon Cablin · huile de Prunus Amygdalus Dulcis · huile de feuille de Rosmarinus Officinalis · huile de salvia scarea · huile de graines de Simmondsia Chinensis · huile de germe de Triticum Vulgare · huile de graines de vitis vinifera",17
27,Huile Pousse Cheveux Très Rapide,‎Lxitian,Huiles Cheveux,Rosmarinus officinalis leaf oil · Prunus amygdalus dulcis oil · Adansonia digitata seed oil · Lavandula angustifolia oil · Olea europaea fruit oil · Coffea arabica seed oil · Cocos nucifera oil · Petroselinum crispum seed oil · Persea gratissima oil · Argania spinosa kernel oil · Ricinus communis seed oil · Panax ginseng root extract · Polygonum multiflorum root extract · Elaeis oleifera kernel oil · Zingiber officinale root extract,15
28,Activilong Glycérine Végétale,‎Activilong,Huiles Cheveux,,0
29,Sebastian Professional Dark Oil,‎Sebastian,Huiles Cheveux,Argania Spinosa Kernel Oil,1
1,Garnier Ambre Solaire Sérum Autobronzant Visage 30 ml,‎Garnier,Protection Solaire,Cocos nucifera fruit juice · Aloe barbadensis leaf juice,2
2,Oenobiol Perfect Bronze Autobronzant,‎Oenobiol,Protection Solaire,Solanum Lycopersicum extract · Haemaococcus pluvialis extract · Curcuma longa root extract,3
3,Autobronzant Gélules Vitavea,‎Vitavea,Protection Solaire,Daucus carota powder · Citrus sinensis extract · Tagetes erecta extract,3
5,Vitavea Bronzage Expert,‎VITAVEA BIEN-ETRE,Protection Solaire,Borago officinalis · Saccharomyces cerevisiae · Solanum lycopersicum,3
6,Ambre Solaire Sensitive Expert+,‎AMBRE SOLAIRE,Protection Solaire,Aloe barbadensis leaf juice,1
7,Gel à L’Aloe Vera PraNaturals,‎PraNaturals,Protection Solaire,Aloe vera,1
8,SUN Fluide UV visage Luminous 630 FPS 50+,‎NIVEA,Protection Solaire,Glycyrrhiza Inflata Root Extract,1
10,Préparateur Solaire & Accélérateur de Bronzage - Vitavea,‎Vitavea,Protection Solaire,Borago officinalis · Saccharomyces cerevisiae · Solanum lycopersicum,3
11,Ciel d'Azur Labs Gel d'Aloé Vera Bio Pur Aloé,‎Pur Aloé,Protection Solaire,Aloe Barbadensis Leaf Extract,1
13,Oenobiol Perfect Bronze Solaire,‎Oenobiol,Protection Solaire,Lycopersicon esculentum fruit extract · Haematococcus pluvialis extract · Curcuma longa rhizome extract · Tagetes erecta extract,4
15,Gel Aloe Vera Bio,‎B.O.T cosmetic & wellness,Protection Solaire,Chondrus Crispus,1
18,LOVEA - Stick Solaire FPS 50 - Haute Protection Visage & Zones Sensibles - Monoï De Tahiti - Protection UVA/UVB - Fini Invisible & Résistant À L'Eau - Vegan - Fabriqué En France - 40 g,‎Lovea,Protection Solaire,Helianthus Annuus Seed Cera · Candelilla Cera · Zea Mays Starch · Cocos Nucifera Oil · Gardenia Taitensis Flower Extract · Helianthus Annuus Seed Oil,6
20,Baume Réparateur Après-Soleil,‎Corine de Farme,Protection Solaire,Butyrospermum Parkii Butter · Mangifera Indica Seed Butter · Cocos Nucifera Oil · Gardenia Taitensis Flower Extract · Helianthus Annuus Seed Oil,5
22,Gel Aloe Vera Bio,‎B.O.T cosmetic & wellness,Protection Solaire,,0
23,ParaSol Spray Protecteur,‎Parasol,Protection Solaire,Helianthus Annuus Seed Oil · Calendula Officinalis Flower Extract,2
24,ParaSol Spray Graisse à Traire Monoï,‎Parasol,Protection Solaire,Cocos Nucifera Oil · Gardenia Tahitensis,2
25,Corine de Farme Lait Protecteur SPF50+ Sensitive,‎Corine de Farme,Protection Solaire,Cocos Nucifera Oil · Gardenia Taitensis Flower Extract · Helianthus Annuus Seed Oil,3
